geometry,Lx,D,geometry_id,rx,rz,material
spheroid,,,spheroid_rx_3.607_rz_2.491,3.6069999999999998,2.0,[]
spheroid,,,spheroid_rx_4.24_rz_3.26,4.24,3.0,[]
spheroid,,,spheroid_rx_3.698_rz_7.525,3.698,7.0,[]
spheroid,,,spheroid_rx_9.45_rz_9.014,9.45,9.0,[]
spheroid,,,spheroid_rx_7.647_rz_4.554,7.647,4.0,[]
spheroid,,,spheroid_rx_5.051_rz_4.915,5.051,4.0,[]
spheroid,,,spheroid_rx_2.432_rz_1.911,2.432,1.0,[]
spheroid,,,spheroid_rx_5.11_rz_7.091,5.11,7.0,[]
spheroid,,,spheroid_rx_4.759_rz_6.998,4.7589999999999995,6.0,[]
spheroid,,,spheroid_rx_1.161_rz_8.106,1.161,8.0,[]
spheroid,,,spheroid_rx_3.889_rz_4.103,3.889,4.0,[]
spheroid,,,spheroid_rx_9.596_rz_9.225,9.596,9.0,[]
spheroid,,,spheroid_rx_6.641_rz_3.043,6.641,3.0,[]
spheroid,,,spheroid_rx_3.634_rz_8.174,3.634,8.0,[]
spheroid,,,spheroid_rx_7.938_rz_6.407,7.938,6.0,[]
spheroid,,,spheroid_rx_7.152_rz_3.634,7.152,3.0,[]
spheroid,,,spheroid_rx_5.908_rz_3.43,5.9079999999999995,3.0,[]
spheroid,,,spheroid_rx_7.696_rz_5.933,7.6960000000000015,5.0,[]
spheroid,,,spheroid_rx_8.356_rz_1.699,8.356,1.0,[]
spheroid,,,spheroid_rx_5.316_rz_8.376,5.316,8.0,[]
spheroid,,,spheroid_rx_4.144_rz_2.216,4.144,2.0,[]
spheroid,,,spheroid_rx_5.699_rz_3.892,5.699,3.0,[]
spheroid,,,spheroid_rx_3.63_rz_2.223,3.63,2.0,[]
spheroid,,,spheroid_rx_0.746_rz_6.651,0.746,6.0,[]
spheroid,,,spheroid_rx_6.418_rz_0.669,6.4179999999999975,0.0,[]
spheroid,,,spheroid_rx_6.684_rz_4.773,6.684,4.0,[]
spheroid,,,spheroid_rx_4.088_rz_0.839,4.088,0.0,[]
spheroid,,,spheroid_rx_6.025_rz_6.225,6.025,6.0,[]
spheroid,,,spheroid_rx_2.585_rz_2.333,2.585,2.0,[]
spheroid,,,spheroid_rx_6.857_rz_7.843,6.857,7.0,[]
spheroid,,,spheroid_rx_7.623_rz_1.227,7.6229999999999976,1.0,[]
spheroid,,,spheroid_rx_3.193_rz_8.8,3.193,8.0,[]
spheroid,,,spheroid_rx_5.425_rz_4.963,5.425,4.0,[]
spheroid,,,spheroid_rx_6.622_rz_2.5,6.622000000000001,2.0,[]
spheroid,,,spheroid_rx_9.769_rz_5.101,9.769,5.0,[]
spheroid,,,spheroid_rx_0.507_rz_1.414,0.507,1.0,[]
spheroid,,,spheroid_rx_9.403_rz_5.932,9.402999999999999,5.0,[]
spheroid,,,spheroid_rx_9.957_rz_8.882,9.957,8.0,[]
spheroid,,,spheroid_rx_3.26_rz_6.183,3.26,6.0,[]
spheroid,,,spheroid_rx_7.999_rz_1.472,7.999,1.0,[]
spheroid,,,spheroid_rx_8.43_rz_4.697,8.43,4.0,[]
spheroid,,,spheroid_rx_0.806_rz_5.372,0.8059999999999999,5.0,[]
spheroid,,,spheroid_rx_5.433_rz_8.202,5.433,8.0,[]
spheroid,,,spheroid_rx_6.357_rz_7.444,6.357,7.0,[]
spheroid,,,spheroid_rx_0.626_rz_9.513,0.626,9.0,[]
spheroid,,,spheroid_rx_5.031_rz_6.745,5.0310000000000015,6.0,[]
spheroid,,,spheroid_rx_3.442_rz_4.174,3.4419999999999997,4.0,[]
spheroid,,,spheroid_rx_9.282_rz_3.115,9.282,3.0,[]
spheroid,,,spheroid_rx_0.439_rz_5.053,0.439,5.0,[]
spheroid,,,spheroid_rx_1.013_rz_0.154,1.013,0.0,[]
spheroid,,,spheroid_rx_1.004_rz_8.376,1.004,8.0,[]
spheroid,,,spheroid_rx_8.184_rz_7.964,8.184,7.0,[]
spheroid,,,spheroid_rx_0.766_rz_5.948,0.7659999999999999,5.0,[]
spheroid,,,spheroid_rx_4.23_rz_0.305,4.23,0.0,[]
spheroid,,,spheroid_rx_9.924_rz_2.46,9.924,2.0,[]
spheroid,,,spheroid_rx_5.361_rz_6.093,5.3610000000000015,6.0,[]
spheroid,,,spheroid_rx_2.095_rz_1.372,2.095,1.0,[]
spheroid,,,spheroid_rx_0.927_rz_7.191,0.927,7.0,[]
spheroid,,,spheroid_rx_5.493_rz_1.094,5.492999999999999,1.0,[]
spheroid,,,spheroid_rx_3.996_rz_9.788,3.996,9.0,[]
spheroid,,,spheroid_rx_2.375_rz_8.346,2.375,8.0,[]
spheroid,,,spheroid_rx_2.169_rz_1.679,2.169,1.0,[]
spheroid,,,spheroid_rx_4.958_rz_5.881,4.958,5.0,[]
spheroid,,,spheroid_rx_8.089_rz_0.8,8.089,0.0,[]
spheroid,,,spheroid_rx_3.218_rz_6.152,3.218,6.0,[]
spheroid,,,spheroid_rx_2.206_rz_2.544,2.206,2.0,[]
spheroid,,,spheroid_rx_6.654_rz_0.576,6.654,0.0,[]
spheroid,,,spheroid_rx_6.268_rz_4.569,6.268,4.0,[]
spheroid,,,spheroid_rx_3.3_rz_0.634,3.3,0.0,[]
spheroid,,,spheroid_rx_0.761_rz_6.532,0.7609999999999999,6.0,[]
spheroid,,,spheroid_rx_0.563_rz_2.501,0.563,2.0,[]
spheroid,,,spheroid_rx_0.812_rz_5.719,0.812,5.0,[]
spheroid,,,spheroid_rx_8.297_rz_5.494,8.297,5.0,[]
spheroid,,,spheroid_rx_8.965_rz_9.063,8.965,9.0,[]
spheroid,,,spheroid_rx_8.734_rz_4.012,8.734,4.0,[]
spheroid,,,spheroid_rx_0.597_rz_6.597,0.597,6.0,[]
spheroid,,,spheroid_rx_0.217_rz_4.12,0.217,4.0,[]
spheroid,,,spheroid_rx_7.582_rz_6.588,7.582000000000002,6.0,[]
spheroid,,,spheroid_rx_3.754_rz_5.784,3.7539999999999996,5.0,[]
spheroid,,,spheroid_rx_4.96_rz_3.749,4.96,3.0,[]
spheroid,,,spheroid_rx_7.515_rz_0.056,7.515,0.0,[]
spheroid,,,spheroid_rx_5.547_rz_6.58,5.5470000000000015,6.0,[]
spheroid,,,spheroid_rx_9.978_rz_6.134,9.978,6.0,[]
spheroid,,,spheroid_rx_7.0_rz_0.546,7.0,0.0,[]
spheroid,,,spheroid_rx_0.155_rz_3.435,0.155,3.0,[]
spheroid,,,spheroid_rx_5.317_rz_1.168,5.317,1.0,[]
spheroid,,,spheroid_rx_1.233_rz_8.212,1.2329999999999999,8.0,[]
spheroid,,,spheroid_rx_9.216_rz_2.44,9.216,2.0,[]
spheroid,,,spheroid_rx_4.017_rz_3.537,4.0169999999999995,3.0,[]
spheroid,,,spheroid_rx_4.206_rz_2.496,4.206,2.0,[]
spheroid,,,spheroid_rx_5.149_rz_9.158,5.149,9.0,[]
spheroid,,,spheroid_rx_6.534_rz_9.166,6.534,9.0,[]
spheroid,,,spheroid_rx_5.593_rz_1.72,5.593,1.0,[]
spheroid,,,spheroid_rx_0.972_rz_6.579,0.972,6.0,[]
spheroid,,,spheroid_rx_4.431_rz_6.142,4.431,6.0,[]
spheroid,,,spheroid_rx_8.516_rz_0.803,8.516,0.0,[]
spheroid,,,spheroid_rx_1.878_rz_9.051,1.8780000000000001,9.0,[]
spheroid,,,spheroid_rx_9.022_rz_4.294,9.022,4.0,[]
spheroid,,,spheroid_rx_7.745_rz_8.812,7.745,8.0,[]
spheroid,,,spheroid_rx_1.409_rz_3.559,1.409,3.0,[]
spheroid,,,spheroid_rx_1.638_rz_6.468,1.6380000000000001,6.0,[]
spheroid,,,spheroid_rx_5.913_rz_8.901,5.9129999999999985,8.0,[]
spheroid,,,spheroid_rx_2.975_rz_9.617,2.975,9.0,[]
spheroid,,,spheroid_rx_4.945_rz_2.626,4.945,2.0,[]
spheroid,,,spheroid_rx_1.9_rz_4.256,1.9,4.0,[]
spheroid,,,spheroid_rx_9.068_rz_0.719,9.068,0.0,[]
spheroid,,,spheroid_rx_4.464_rz_7.86,4.4639999999999995,7.0,[]
spheroid,,,spheroid_rx_4.336_rz_2.091,4.336,2.0,[]
spheroid,,,spheroid_rx_0.863_rz_9.657,0.863,9.0,[]
spheroid,,,spheroid_rx_3.826_rz_4.871,3.826,4.0,[]
spheroid,,,spheroid_rx_3.324_rz_1.787,3.324,1.0,[]
spheroid,,,spheroid_rx_0.794_rz_3.442,0.794,3.0,[]
spheroid,,,spheroid_rx_2.615_rz_1.944,2.615,1.0,[]
spheroid,,,spheroid_rx_8.211_rz_6.36,8.211,6.0,[]
spheroid,,,spheroid_rx_7.14_rz_9.122,7.14,9.0,[]
spheroid,,,spheroid_rx_1.553_rz_6.578,1.5530000000000002,6.0,[]
spheroid,,,spheroid_rx_7.471_rz_0.318,7.471,0.0,[]
spheroid,,,spheroid_rx_8.175_rz_0.747,8.175,0.0,[]
spheroid,,,spheroid_rx_0.028_rz_0.225,0.027999999999999997,0.0,[]
spheroid,,,spheroid_rx_7.241_rz_9.987,7.241,9.0,[]
spheroid,,,spheroid_rx_6.525_rz_8.484,6.525,8.0,[]
spheroid,,,spheroid_rx_5.76_rz_8.236,5.76,8.0,[]
spheroid,,,spheroid_rx_0.625_rz_6.497,0.625,6.0,[]
spheroid,,,spheroid_rx_4.236_rz_2.168,4.2360000000000015,2.0,[]
spheroid,,,spheroid_rx_6.324_rz_1.493,6.324,1.0,[]
spheroid,,,spheroid_rx_5.978_rz_7.667,5.978,7.0,[]
spheroid,,,spheroid_rx_6.957_rz_2.809,6.9570000000000025,2.0,[]
spheroid,,,spheroid_rx_5.387_rz_8.87,5.3870000000000005,8.0,[]
spheroid,,,spheroid_rx_4.041_rz_3.929,4.041,3.0,[]
spheroid,,,spheroid_rx_3.148_rz_8.413,3.148,8.0,[]
spheroid,,,spheroid_rx_5.125_rz_6.023,5.125,6.0,[]
spheroid,,,spheroid_rx_8.252_rz_0.506,8.252,0.0,[]
spheroid,,,spheroid_rx_9.191_rz_4.342,9.191,4.0,[]
spheroid,,,spheroid_rx_5.259_rz_8.395,5.259,8.0,[]
spheroid,,,spheroid_rx_9.372_rz_1.944,9.372,1.0,[]
spheroid,,,spheroid_rx_1.835_rz_2.248,1.835,2.0,[]
spheroid,,,spheroid_rx_2.647_rz_2.258,2.647,2.0,[]
spheroid,,,spheroid_rx_0.491_rz_8.857,0.491,8.0,[]
spheroid,,,spheroid_rx_8.957_rz_8.853,8.957,8.0,[]
spheroid,,,spheroid_rx_1.36_rz_6.241,1.36,6.0,[]
spheroid,,,spheroid_rx_4.288_rz_8.957,4.288,8.0,[]
spheroid,,,spheroid_rx_4.546_rz_2.896,4.546,2.0,[]
spheroid,,,spheroid_rx_2.942_rz_7.386,2.9419999999999997,7.0,[]
spheroid,,,spheroid_rx_2.868_rz_4.617,2.8680000000000003,4.0,[]
spheroid,,,spheroid_rx_8.6_rz_9.599,8.6,9.0,[]
spheroid,,,spheroid_rx_1.243_rz_7.225,1.243,7.0,[]
spheroid,,,spheroid_rx_8.001_rz_3.507,8.001,3.0,[]
spheroid,,,spheroid_rx_4.467_rz_7.313,4.467,7.0,[]
spheroid,,,spheroid_rx_0.947_rz_5.048,0.9470000000000001,5.0,[]
spheroid,,,spheroid_rx_8.733_rz_6.245,8.732999999999999,6.0,[]
spheroid,,,spheroid_rx_7.325_rz_9.77,7.325,9.0,[]
spheroid,,,spheroid_rx_4.875_rz_9.009,4.875,9.0,[]
spheroid,,,spheroid_rx_3.623_rz_1.25,3.623,1.0,[]
spheroid,,,spheroid_rx_0.863_rz_8.547,0.863,8.0,[]
spheroid,,,spheroid_rx_0.532_rz_5.306,0.532,5.0,[]
spheroid,,,spheroid_rx_5.703_rz_2.581,5.7029999999999985,2.0,[]
spheroid,,,spheroid_rx_7.245_rz_0.013,7.245,0.0,[]
spheroid,,,spheroid_rx_7.398_rz_5.522,7.398,5.0,[]
spheroid,,,spheroid_rx_9.697_rz_2.959,9.697000000000001,2.0,[]
spheroid,,,spheroid_rx_6.532_rz_3.434,6.532,3.0,[]
spheroid,,,spheroid_rx_3.116_rz_8.741,3.116,8.0,[]
spheroid,,,spheroid_rx_0.268_rz_3.568,0.268,3.0,[]
spheroid,,,spheroid_rx_2.836_rz_2.802,2.8360000000000003,2.0,[]
spheroid,,,spheroid_rx_9.091_rz_0.595,9.091,0.0,[]
spheroid,,,spheroid_rx_2.56_rz_3.733,2.56,3.0,[]
spheroid,,,spheroid_rx_0.391_rz_0.109,0.391,0.0,[]
spheroid,,,spheroid_rx_8.964_rz_2.75,8.964,2.0,[]
spheroid,,,spheroid_rx_6.892_rz_2.735,6.892,2.0,[]
spheroid,,,spheroid_rx_9.059_rz_1.134,9.059,1.0,[]
spheroid,,,spheroid_rx_5.959_rz_0.509,5.959,0.0,[]
spheroid,,,spheroid_rx_8.605_rz_1.663,8.605,1.0,[]
spheroid,,,spheroid_rx_8.323_rz_7.341,8.323,7.0,[]
spheroid,,,spheroid_rx_3.387_rz_5.357,3.387,5.0,[]
spheroid,,,spheroid_rx_3.247_rz_1.341,3.247,1.0,[]
spheroid,,,spheroid_rx_3.981_rz_1.875,3.9810000000000003,1.0,[]
spheroid,,,spheroid_rx_9.254_rz_1.404,9.254,1.0,[]
spheroid,,,spheroid_rx_5.496_rz_9.987,5.496,9.0,[]
spheroid,,,spheroid_rx_5.225_rz_0.587,5.225,0.0,[]
spheroid,,,spheroid_rx_3.826_rz_6.426,3.826,6.0,[]
spheroid,,,spheroid_rx_6.042_rz_4.546,6.0420000000000025,4.0,[]
spheroid,,,spheroid_rx_7.962_rz_8.539,7.9620000000000015,8.0,[]
spheroid,,,spheroid_rx_5.667_rz_4.431,5.6670000000000025,4.0,[]
spheroid,,,spheroid_rx_1.079_rz_4.127,1.079,4.0,[]
spheroid,,,spheroid_rx_3.22_rz_8.986,3.22,8.0,[]
spheroid,,,spheroid_rx_7.649_rz_2.417,7.649,2.0,[]
spheroid,,,spheroid_rx_2.914_rz_7.653,2.914,7.0,[]
spheroid,,,spheroid_rx_8.582_rz_2.644,8.582,2.0,[]
spheroid,,,spheroid_rx_4.866_rz_2.94,4.8660000000000005,2.0,[]
spheroid,,,spheroid_rx_9.761_rz_5.17,9.761000000000001,5.0,[]
spheroid,,,spheroid_rx_6.724_rz_0.653,6.724,0.0,[]
spheroid,,,spheroid_rx_7.403_rz_1.08,7.403,1.0,[]
spheroid,,,spheroid_rx_4.53_rz_9.893,4.53,9.0,[]
spheroid,,,spheroid_rx_8.278_rz_5.337,8.277999999999999,5.0,[]
spheroid,,,spheroid_rx_8.994_rz_9.529,8.994,9.0,[]
spheroid,,,spheroid_rx_5.085_rz_2.075,5.085,2.0,[]
spheroid,,,spheroid_rx_1.924_rz_4.184,1.924,4.0,[]
spheroid,,,spheroid_rx_2.772_rz_8.935,2.772,8.0,[]
spheroid,,,spheroid_rx_3.34_rz_8.429,3.34,8.0,[]
spheroid,,,spheroid_rx_3.183_rz_2.384,3.1830000000000003,2.0,[]
spheroid,,,spheroid_rx_6.892_rz_9.256,6.892,9.0,[]
spheroid,,,spheroid_rx_1.176_rz_4.883,1.176,4.0,[]
spheroid,,,spheroid_rx_4.373_rz_3.291,4.373,3.0,[]
spheroid,,,spheroid_rx_2.466_rz_0.155,2.4659999999999997,0.0,[]
spheroid,,,spheroid_rx_5.971_rz_6.65,5.971,6.0,[]
spheroid,,,spheroid_rx_5.764_rz_0.996,5.763999999999999,0.0,[]
spheroid,,,spheroid_rx_3.832_rz_8.751,3.832,8.0,[]
spheroid,,,spheroid_rx_8.349_rz_7.189,8.349,7.0,[]
spheroid,,,spheroid_rx_0.452_rz_7.459,0.452,7.0,[]
spheroid,,,spheroid_rx_1.102_rz_8.742,1.102,8.0,[]
spheroid,,,spheroid_rx_9.119_rz_5.957,9.119,5.0,[]
spheroid,,,spheroid_rx_5.463_rz_3.977,5.462999999999999,3.0,[]
spheroid,,,spheroid_rx_4.409_rz_8.119,4.409,8.0,[]
spheroid,,,spheroid_rx_2.618_rz_2.809,2.6180000000000003,2.0,[]
spheroid,,,spheroid_rx_1.105_rz_8.422,1.105,8.0,[]
spheroid,,,spheroid_rx_1.548_rz_1.381,1.548,1.0,[]
spheroid,,,spheroid_rx_4.09_rz_9.972,4.09,9.0,[]
spheroid,,,spheroid_rx_0.294_rz_4.726,0.294,4.0,[]
spheroid,,,spheroid_rx_4.915_rz_0.228,4.915,0.0,[]
spheroid,,,spheroid_rx_2.535_rz_7.048,2.535,7.0,[]
spheroid,,,spheroid_rx_6.317_rz_4.487,6.317,4.0,[]
spheroid,,,spheroid_rx_6.168_rz_1.478,6.1679999999999975,1.0,[]
spheroid,,,spheroid_rx_3.323_rz_9.814,3.323,9.0,[]
spheroid,,,spheroid_rx_5.017_rz_0.822,5.0169999999999995,0.0,[]
spheroid,,,spheroid_rx_7.648_rz_3.14,7.648,3.0,[]
spheroid,,,spheroid_rx_8.702_rz_9.386,8.702,9.0,[]
spheroid,,,spheroid_rx_4.621_rz_4.695,4.621,4.0,[]
spheroid,,,spheroid_rx_1.099_rz_8.65,1.099,8.0,[]
spheroid,,,spheroid_rx_3.354_rz_9.429,3.354,9.0,[]
spheroid,,,spheroid_rx_7.585_rz_0.217,7.585,0.0,[]
spheroid,,,spheroid_rx_1.081_rz_0.764,1.081,0.0,[]
spheroid,,,spheroid_rx_9.119_rz_7.254,9.119,7.0,[]
spheroid,,,spheroid_rx_2.656_rz_8.397,2.656,8.0,[]
spheroid,,,spheroid_rx_6.045_rz_6.335,6.045,6.0,[]
spheroid,,,spheroid_rx_7.148_rz_2.759,7.148,2.0,[]
spheroid,,,spheroid_rx_0.115_rz_0.721,0.115,0.0,[]
spheroid,,,spheroid_rx_7.681_rz_2.62,7.681,2.0,[]
spheroid,,,spheroid_rx_7.028_rz_3.279,7.028,3.0,[]
spheroid,,,spheroid_rx_3.235_rz_8.242,3.235,8.0,[]
spheroid,,,spheroid_rx_3.804_rz_1.617,3.804,1.0,[]
spheroid,,,spheroid_rx_1.019_rz_6.396,1.019,6.0,[]
spheroid,,,spheroid_rx_5.695_rz_2.039,5.695,2.0,[]
spheroid,,,spheroid_rx_4.405_rz_8.716,4.405,8.0,[]
spheroid,,,spheroid_rx_8.754_rz_2.191,8.754,2.0,[]
spheroid,,,spheroid_rx_5.365_rz_7.943,5.365,7.0,[]
spheroid,,,spheroid_rx_3.297_rz_7.28,3.2969999999999997,7.0,[]
spheroid,,,spheroid_rx_4.85_rz_0.303,4.85,0.0,[]
spheroid,,,spheroid_rx_6.52_rz_0.773,6.52,0.0,[]
spheroid,,,spheroid_rx_6.616_rz_5.895,6.6160000000000005,5.0,[]
spheroid,,,spheroid_rx_4.314_rz_1.958,4.314,1.0,[]
spheroid,,,spheroid_rx_0.367_rz_4.778,0.3670000000000001,4.0,[]
spheroid,,,spheroid_rx_3.731_rz_3.904,3.7310000000000003,3.0,[]
spheroid,,,spheroid_rx_0.799_rz_9.429,0.799,9.0,[]
spheroid,,,spheroid_rx_4.084_rz_3.419,4.084,3.0,[]
spheroid,,,spheroid_rx_9.052_rz_1.595,9.052,1.0,[]
spheroid,,,spheroid_rx_9.3_rz_8.95,9.3,8.0,[]
spheroid,,,spheroid_rx_0.878_rz_1.747,0.878,1.0,[]
spheroid,,,spheroid_rx_4.964_rz_3.975,4.9639999999999995,3.0,[]
spheroid,,,spheroid_rx_6.323_rz_6.214,6.323,6.0,[]
spheroid,,,spheroid_rx_6.431_rz_0.316,6.431,0.0,[]
spheroid,,,spheroid_rx_7.81_rz_8.128,7.81,8.0,[]
spheroid,,,spheroid_rx_2.086_rz_9.789,2.086,9.0,[]
spheroid,,,spheroid_rx_0.402_rz_6.111,0.402,6.0,[]
spheroid,,,spheroid_rx_1.112_rz_7.882,1.112,7.0,[]
spheroid,,,spheroid_rx_9.154_rz_5.96,9.154,5.0,[]
spheroid,,,spheroid_rx_9.04_rz_3.223,9.04,3.0,[]
spheroid,,,spheroid_rx_2.337_rz_6.042,2.337,6.0,[]
spheroid,,,spheroid_rx_9.382_rz_3.075,9.382,3.0,[]
spheroid,,,spheroid_rx_8.439_rz_4.978,8.439,4.0,[]
spheroid,,,spheroid_rx_9.12_rz_9.272,9.12,9.0,[]
spheroid,,,spheroid_rx_7.834_rz_8.883,7.834,8.0,[]
spheroid,,,spheroid_rx_2.401_rz_2.52,2.401,2.0,[]
spheroid,,,spheroid_rx_3.044_rz_5.861,3.044,5.0,[]
spheroid,,,spheroid_rx_5.479_rz_6.436,5.479,6.0,[]
spheroid,,,spheroid_rx_0.04_rz_7.481,0.04,7.0,[]
spheroid,,,spheroid_rx_3.191_rz_6.338,3.1910000000000003,6.0,[]
spheroid,,,spheroid_rx_9.508_rz_1.787,9.508,1.0,[]
spheroid,,,spheroid_rx_1.348_rz_8.334,1.348,8.0,[]
spheroid,,,spheroid_rx_0.598_rz_7.947,0.598,7.0,[]
spheroid,,,spheroid_rx_6.973_rz_4.916,6.973,4.0,[]
spheroid,,,spheroid_rx_6.343_rz_6.945,6.343,6.0,[]
spheroid,,,spheroid_rx_0.919_rz_7.823,0.919,7.0,[]
spheroid,,,spheroid_rx_8.957_rz_7.828,8.957,7.0,[]
spheroid,,,spheroid_rx_0.895_rz_9.223,0.895,9.0,[]
spheroid,,,spheroid_rx_8.154_rz_8.738,8.154,8.0,[]
spheroid,,,spheroid_rx_1.188_rz_3.045,1.188,3.0,[]
spheroid,,,spheroid_rx_0.877_rz_6.758,0.877,6.0,[]
spheroid,,,spheroid_rx_2.165_rz_6.495,2.165,6.0,[]
spheroid,,,spheroid_rx_8.409_rz_4.898,8.408999999999999,4.0,[]
spheroid,,,spheroid_rx_6.635_rz_9.536,6.635,9.0,[]
spheroid,,,spheroid_rx_5.736_rz_2.835,5.7360000000000015,2.0,[]
spheroid,,,spheroid_rx_3.963_rz_3.008,3.963,3.0,[]
spheroid,,,spheroid_rx_9.685_rz_1.249,9.685,1.0,[]
spheroid,,,spheroid_rx_9.946_rz_9.513,9.946,9.0,[]
spheroid,,,spheroid_rx_2.515_rz_9.998,2.515,9.0,[]
spheroid,,,spheroid_rx_8.303_rz_0.313,8.302999999999999,0.0,[]
spheroid,,,spheroid_rx_5.444_rz_8.073,5.444,8.0,[]
spheroid,,,spheroid_rx_3.619_rz_5.272,3.6189999999999998,5.0,[]
spheroid,,,spheroid_rx_4.44_rz_1.059,4.44,1.0,[]
spheroid,,,spheroid_rx_9.529_rz_1.908,9.529,1.0,[]
spheroid,,,spheroid_rx_8.652_rz_5.458,8.652000000000001,5.0,[]
spheroid,,,spheroid_rx_0.331_rz_7.555,0.331,7.0,[]
spheroid,,,spheroid_rx_8.762_rz_4.712,8.762,4.0,[]
spheroid,,,spheroid_rx_5.142_rz_3.619,5.142,3.0,[]
spheroid,,,spheroid_rx_3.635_rz_3.6,3.635,3.0,[]
